Date,Distance (in AU)
 1952-Jul-11,0.002432766
 1952-Jul-12,0.002462284
 1952-Jul-13,0.00249631
 1952-Jul-14,0.00253205
 1952-Jul-15,0.002567157
 1952-Jul-16,0.002599893
 1952-Jul-17,0.00262914
 1952-Jul-18,0.00265431
 1952-Jul-19,0.002675201
 1952-Jul-20,0.002691827
 1952-Jul-21,0.00270426
 1952-Jul-22,0.002712503
 1952-Jul-23,0.00271641
 1952-Jul-24,0.002715663
 1952-Jul-25,0.002709805
 1952-Jul-26,0.002698326
 1952-Jul-27,0.002680792
 1952-Jul-28,0.002656997
 1952-Jul-29,0.002627133
 1952-Jul-30,0.002591942
 1952-Jul-31,0.002552839
 1952-Aug-01,0.002511969
 1952-Aug-02,0.002472144
 1952-Aug-03,0.002436642
 1952-Aug-04,0.002408822
 1952-Aug-05,0.002391605
 1952-Aug-06,0.002386921
 1952-Aug-07,0.002395301
 1952-Aug-08,0.002415756
 1952-Aug-09,0.002445999
 1952-Aug-10,0.002482924
 1952-Aug-11,0.00252316
 1952-Aug-12,0.002563559
 1952-Aug-13,0.002601518
 1952-Aug-14,0.002635138
 1952-Aug-15,0.002663239
 1952-Aug-16,0.002685276
 1952-Aug-17,0.002701206
 1952-Aug-18,0.002711316
 1952-Aug-19,0.002716067
 1952-Aug-20,0.002715938
 1952-Aug-21,0.002711314
 1952-Aug-22,0.002702419
 1952-Aug-23,0.002689299
 1952-Aug-24,0.002671869
 1952-Aug-25,0.002650015
 1952-Aug-26,0.002623735
 1952-Aug-27,0.002593306
 1952-Aug-28,0.002559452
 1952-Aug-29,0.002523485
 1952-Aug-30,0.002487363
 1952-Aug-31,0.002453642
 1952-Sep-01,0.002425263
 1952-Sep-02,0.002405175
 1952-Sep-03,0.002395831
 1952-Sep-04,0.002398679
 1952-Sep-05,0.002413807
 1952-Sep-06,0.002439884
 1952-Sep-07,0.0024744
 1952-Sep-08,0.002514133
 1952-Sep-09,0.002555667
 1952-Sep-10,0.00259584
 1952-Sep-11,0.002632049
 1952-Sep-12,0.002662404
 1952-Sep-13,0.00268576
 1952-Sep-14,0.002701666
 1952-Sep-15,0.002710248
 1952-Sep-16,0.002712072
 1952-Sep-17,0.002707984
 1952-Sep-18,0.002698949
 1952-Sep-19,0.002685908
 1952-Sep-20,0.002669661
 1952-Sep-21,0.0026508
 1952-Sep-22,0.002629699
 1952-Sep-23,0.00260657
 1952-Sep-24,0.002581576
 1952-Sep-25,0.002554986
 1952-Sep-26,0.002527345
 1952-Sep-27,0.00249962
 1952-Sep-28,0.002473274
 1952-Sep-29,0.002450232
 1952-Sep-30,0.002432699
 1952-Oct-01,0.002422849
 1952-Oct-02,0.002422402
 1952-Oct-03,0.002432232
 1952-Oct-04,0.002452096
 1952-Oct-05,0.002480598
 1952-Oct-06,0.002515387
 1952-Oct-07,0.002553522
 1952-Oct-08,0.002591894
 1952-Oct-09,0.002627596
 1952-Oct-10,0.002658203
 1952-Oct-11,0.002681932
 1952-Oct-12,0.002697713
 1952-Oct-13,0.002705181
 1952-Oct-14,0.002704614
 1952-Oct-15,0.00269683
 1952-Oct-16,0.00268305
 1952-Oct-17,0.002664744
 1952-Oct-18,0.002643455
 1952-Oct-19,0.002620635
 1952-Oct-20,0.002597501
 1952-Oct-21,0.002574943
 1952-Oct-22,0.002553506
 1952-Oct-23,0.002533453
 1952-Oct-24,0.002514893
 1952-Oct-25,0.002497956
 1952-Oct-26,0.002482959
 1952-Oct-27,0.002470525
 1952-Oct-28,0.002461602
 1952-Oct-29,0.002457365
 1952-Oct-30,0.002459006
 1952-Oct-31,0.002467447
 1952-Nov-01,0.002483059
 1952-Nov-02,0.00250546
 1952-Nov-03,0.002533462
 1952-Nov-04,0.002565168
 1952-Nov-05,0.002598207
 1952-Nov-06,0.002630015
 1952-Nov-07,0.002658127
 1952-Nov-08,0.002680419
 1952-Nov-09,0.002695281
 1952-Nov-10,0.002701731
 1952-Nov-11,0.002699468
 1952-Nov-12,0.002688872
 1952-Nov-13,0.002670959
 1952-Nov-14,0.002647291
 1952-Nov-15,0.002619832
 1952-Nov-16,0.002590761
 1952-Nov-17,0.002562247
 1952-Nov-18,0.00253621
 1952-Nov-19,0.002514109
 1952-Nov-20,0.002496816
 1952-Nov-21,0.002484592
 1952-Nov-22,0.002477191
 1952-Nov-23,0.002474061
 1952-Nov-24,0.002474577
 1952-Nov-25,0.002478253
 1952-Nov-26,0.002484867
 1952-Nov-27,0.00249447
 1952-Nov-28,0.002507296
 1952-Nov-29,0.00252358
 1952-Nov-30,0.00254336
 1952-Dec-01,0.002566297
 1952-Dec-02,0.002591581
 1952-Dec-03,0.002617921
 1952-Dec-04,0.002643646
 1952-Dec-05,0.002666865
 1952-Dec-06,0.002685663
 1952-Dec-07,0.002698306
 1952-Dec-08,0.002703415
 1952-Dec-09,0.002700118
 1952-Dec-10,0.002688158
 1952-Dec-11,0.002667964
 1952-Dec-12,0.002640672
 1952-Dec-13,0.002608096
 1952-Dec-14,0.00257262
 1952-Dec-15,0.002537009
 1952-Dec-16,0.002504131
 1952-Dec-17,0.002476613
 1952-Dec-18,0.002456478
 1952-Dec-19,0.002444871
 1952-Dec-20,0.002441938
 1952-Dec-21,0.002446908
 1952-Dec-22,0.002458361
 1952-Dec-23,0.002474583
 1952-Dec-24,0.002493912
 1952-Dec-25,0.002514987
 1952-Dec-26,0.002536865
 1952-Dec-27,0.002559008
 1952-Dec-28,0.002581166
 1952-Dec-29,0.002603211
 1952-Dec-30,0.002624958
 1952-Dec-31,0.002646024
 1953-Jan-01,0.002665741
 1953-Jan-02,0.002683148
 1953-Jan-03,0.00269705
 1953-Jan-04,0.002706133
 1953-Jan-05,0.002709114
 1953-Jan-06,0.002704909
 1953-Jan-07,0.002692799
 1953-Jan-08,0.00267258
 1953-Jan-09,0.002644695
 1953-Jan-10,0.002610316
 1953-Jan-11,0.00257138
 1953-Jan-12,0.002530527
 1953-Jan-13,0.002490931
 1953-Jan-14,0.002455982
 1953-Jan-15,0.002428847
 1953-Jan-16,0.002411969
 1953-Jan-17,0.002406645
 1953-Jan-18,0.002412811
